key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZC013_04222_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Zweiter Legionsfähnrich Talon ist wegen irgendetwas beunruhigt."
1,"TEXT_AKTKZC013_04222_SEQ_01",""
2,"TEXT_AKTKZC013_04222_SEQ_02",""
3,"TEXT_AKTKZC013_04222_SEQ_03",""
4,"TEXT_AKTKZC013_04222_SEQ_04",""
5,"TEXT_AKTKZC013_04222_SEQ_05",""
6,"TEXT_AKTKZC013_04222_SEQ_06",""
7,"TEXT_AKTKZC013_04222_SEQ_07",""
8,"TEXT_AKTKZC013_04222_SEQ_08",""
9,"TEXT_AKTKZC013_04222_SEQ_09",""
10,"TEXT_AKTKZC013_04222_SEQ_10",""
11,"TEXT_AKTKZC013_04222_SEQ_11",""
12,"TEXT_AKTKZC013_04222_SEQ_12",""
13,"TEXT_AKTKZC013_04222_SEQ_13",""
14,"TEXT_AKTKZC013_04222_SEQ_14",""
15,"TEXT_AKTKZC013_04222_SEQ_15",""
16,"TEXT_AKTKZC013_04222_SEQ_16",""
17,"TEXT_AKTKZC013_04222_SEQ_17",""
18,"TEXT_AKTKZC013_04222_SEQ_18",""
19,"TEXT_AKTKZC013_04222_SEQ_19",""
20,"TEXT_AKTKZC013_04222_SEQ_20",""
21,"TEXT_AKTKZC013_04222_SEQ_21",""
22,"TEXT_AKTKZC013_04222_SEQ_22",""
23,"TEXT_AKTKZC013_04222_SEQ_23",""
24,"TEXT_AKTKZC013_04222_TODO_00","Am Zielort nach der Späherin des Korps suchen"
25,"TEXT_AKTKZC013_04222_TODO_01","Mit der Späherin reden"
26,"TEXT_AKTKZC013_04222_TODO_02","Dem verwundeten Einwohner Garlemalds helfen"
27,"TEXT_AKTKZC013_04222_TODO_03","Talon berichten"
28,"TEXT_AKTKZC013_04222_TODO_04",""
29,"TEXT_AKTKZC013_04222_TODO_05",""
30,"TEXT_AKTKZC013_04222_TODO_06",""
31,"TEXT_AKTKZC013_04222_TODO_07",""
32,"TEXT_AKTKZC013_04222_TODO_08",""
33,"TEXT_AKTKZC013_04222_TODO_09",""
34,"TEXT_AKTKZC013_04222_TODO_10",""
