key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZC009_04218_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Schwierigkeitsanpassung<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Die blonde Soldatin der Nachschubtruppe will in der Zapferhöhle Befragungen durchführen."
1,"TEXT_AKTKZC009_04218_SEQ_01",""
2,"TEXT_AKTKZC009_04218_SEQ_02",""
3,"TEXT_AKTKZC009_04218_SEQ_03",""
4,"TEXT_AKTKZC009_04218_SEQ_04",""
5,"TEXT_AKTKZC009_04218_SEQ_05",""
6,"TEXT_AKTKZC009_04218_SEQ_06",""
7,"TEXT_AKTKZC009_04218_SEQ_07",""
8,"TEXT_AKTKZC009_04218_SEQ_08",""
9,"TEXT_AKTKZC009_04218_SEQ_09",""
10,"TEXT_AKTKZC009_04218_SEQ_10",""
11,"TEXT_AKTKZC009_04218_SEQ_11",""
12,"TEXT_AKTKZC009_04218_SEQ_12",""
13,"TEXT_AKTKZC009_04218_SEQ_13",""
14,"TEXT_AKTKZC009_04218_SEQ_14",""
15,"TEXT_AKTKZC009_04218_SEQ_15",""
16,"TEXT_AKTKZC009_04218_SEQ_16",""
17,"TEXT_AKTKZC009_04218_SEQ_17",""
18,"TEXT_AKTKZC009_04218_SEQ_18",""
19,"TEXT_AKTKZC009_04218_SEQ_19",""
20,"TEXT_AKTKZC009_04218_SEQ_20",""
21,"TEXT_AKTKZC009_04218_SEQ_21",""
22,"TEXT_AKTKZC009_04218_SEQ_22",""
23,"TEXT_AKTKZC009_04218_SEQ_23",""
24,"TEXT_AKTKZC009_04218_TODO_00","Mit dem blonden Flüchtling beim entgleisten Zug sprechen"
25,"TEXT_AKTKZC009_04218_TODO_01","Dem Toten am Steinhaufen gedenken (/beten)"
26,"TEXT_AKTKZC009_04218_TODO_02","Mit der blonden Soldatin der Nachschubtruppe reden"
27,"TEXT_AKTKZC009_04218_TODO_03","Mit der blonden Soldatin der Nachschubtruppe im Camp Splitterglas reden"
28,"TEXT_AKTKZC009_04218_TODO_04",""
29,"TEXT_AKTKZC009_04218_TODO_05",""
30,"TEXT_AKTKZC009_04218_TODO_06",""
31,"TEXT_AKTKZC009_04218_TODO_07",""
32,"TEXT_AKTKZC009_04218_TODO_08",""
