key,0,1
#,,
int32,str,str
0,"TEXT_KINGZC003_05062_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Lenuhali cherche dé<SoftHyphen/>ses<SoftHyphen/>pé<SoftHyphen/>ré<SoftHyphen/>ment quelqu'un pour une opération de désherbage."
1,"TEXT_KINGZC003_05062_SEQ_01",""
2,"TEXT_KINGZC003_05062_SEQ_02",""
3,"TEXT_KINGZC003_05062_SEQ_03",""
4,"TEXT_KINGZC003_05062_SEQ_04",""
5,"TEXT_KINGZC003_05062_SEQ_05",""
6,"TEXT_KINGZC003_05062_SEQ_06",""
7,"TEXT_KINGZC003_05062_SEQ_07",""
8,"TEXT_KINGZC003_05062_SEQ_08",""
9,"TEXT_KINGZC003_05062_SEQ_09",""
10,"TEXT_KINGZC003_05062_SEQ_10",""
11,"TEXT_KINGZC003_05062_SEQ_11",""
12,"TEXT_KINGZC003_05062_SEQ_12",""
13,"TEXT_KINGZC003_05062_SEQ_13",""
14,"TEXT_KINGZC003_05062_SEQ_14",""
15,"TEXT_KINGZC003_05062_SEQ_15",""
16,"TEXT_KINGZC003_05062_SEQ_16",""
17,"TEXT_KINGZC003_05062_SEQ_17",""
18,"TEXT_KINGZC003_05062_SEQ_18",""
19,"TEXT_KINGZC003_05062_SEQ_19",""
20,"TEXT_KINGZC003_05062_SEQ_20",""
21,"TEXT_KINGZC003_05062_SEQ_21",""
22,"TEXT_KINGZC003_05062_SEQ_22",""
23,"TEXT_KINGZC003_05062_SEQ_23",""
24,"TEXT_KINGZC003_05062_TODO_00","Inspecter les alentours à l'endroit indiqué et éliminer toutes les u'outs perturbatrices"
25,"TEXT_KINGZC003_05062_TODO_01","Retourner voir Lenuhali"
26,"TEXT_KINGZC003_05062_TODO_02",""
27,"TEXT_KINGZC003_05062_TODO_03",""
28,"TEXT_KINGZC003_05062_TODO_04",""
29,"TEXT_KINGZC003_05062_TODO_05",""
30,"TEXT_KINGZC003_05062_TODO_06",""
31,"TEXT_KINGZC003_05062_TODO_07",""
32,"TEXT_KINGZC003_05062_TODO_08",""
33,"TEXT_KINGZC003_05062_TODO_09",""
34,"TEXT_KINGZC003_05062_TODO_10",""
