0,TEXT_DEEPDUNGEON2ENTRANCE_KYUSEI_000_000,Ich bin schrecklich beschäftigt. Kann ich mich später um dich kümmern?
1,TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_ENTER,**Himmelssäule** betreten
2,TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_RESET,Fortschritt zurücksetzen
3,TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_BREAKUP,Bestehende Gruppe auflösen
4,TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_SCORE,Punktzahl ansehen
5,TEXT_DEEPDUNGEON2ENTRANCE_TEST_START_MENU_ABOUT,Mehr erfahren
6,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_TITLE,Mit was für einer Gruppe möchtest du die Himmelssäule betreten?
7,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_FIXED,Mit einer bestehenden Gruppe
8,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_MATCHING,Mit einer zufälligen Gruppe
9,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MENU_BACK,Abbrechen
10,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_FIXED_Q,Möchtest du die Himmelssäule mit einer bestehenden Gruppe betreten?
11,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_MATCHING_Q,Möchtest du die Himmelssäule mit einer zufälligen Gruppe betreten?
12,TEXT_DEEPDUNGEON2ENTRANCE_KYUSEI_000_010,"Bist du dir sicher, dass du die Himmelssäule ganz alleine betreten willst? In ihrem Inneren hausen mehr Ungeheuer und Dämonen, als auf allen Inseln der Rubinsee zusammen."
13,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ENTER_SOLO,Möchtest du die Himmelssäule wirklich alleine betreten?
14,TEXT_DEEPDUNGEON2ENTRANCE_ENTER_WHICH_Q,"Wähle die Ebene, ab der du die Erkundung starten möchtest."
15,TEXT_DEEPDUNGEON2ENTRANCE_ENTER_A1,Ebene 1
16,TEXT_DEEPDUNGEON2ENTRANCE_ENTER_A2,Ebene 21
17,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_TITLE,（★未使用／削除予定★）
18,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_WHAT,（★未使用／削除予定★）
19,TEXT_DEEPDUNGEON2ENTRANCE_TEST_ABOUT_RESET,（★未使用／削除予定★）
